request_id,op,filename,bytes,rounds,forfeited_bytes,arrival_ns,start_ns,finish_ns
1,PUT,large.txt,153613,1,0,1027384247119,1027384431640,1027387094236
2,PUT,medium.txt,30774,1,0,1027390683802,1027390974524,1027394391549
3,PUT,small.txt,1044,1,0,1027398535028,1027398902370,1027400523494
4,GET,small.txt,1044,1,0,1027403567647,1027403635370,1027403827061
7,PUT,medium.txt,30774,1,0,1027404684605,1027404907091,1027406403454
9,GET,large.txt,153613,1,0,1027404825917,1027406514176,1027409163842
6,PUT,large.txt,153613,1,0,1027404665286,1027404729223,1027412145995
5,GET,medium.txt,30774,1,0,1027404632324,1027404689152,1027413232803
8,PUT,large.txt,153613,1,0,1027404819901,1027405567576,1027424132841
13,GET,large.txt,153613,1,0,1027415814232,1027424422502,1027426746511
14,PUT,small.txt,1044,1,0,1027416236505,1027429982035,1027434427622
15,GET,small.txt,1044,1,0,1027418421313,1027434659198,1027438007055
10,PUT,medium.txt,30774,1,0,1027405899469,1027409382115,1027438463802
12,PUT,medium.txt,30774,1,0,1027413348140,1027413696735,1027446266994
18,GET,small.txt,1044,1,0,1027429762537,1027446366218,1027446711123
19,GET,medium.txt,30774,1,0,1027435525295,1027446758753,1027449165337
20,GET,medium.txt,30774,1,0,1027448812215,1027449592597,1027450466644
16,GET,small.txt,1044,1,0,1027425924299,1027438517209,1027451953366
17,PUT,medium.txt,30774,1,0,1027425924901,1027438193276,1027453509162
22,PUT,small.txt,1044,1,0,1027451290320,1027454476291,1027460373186
21,GET,medium.txt,30774,1,0,1027450233456,1027450482737,1027460457799
11,PUT,medium.txt,30774,1,0,1027411600513,1027412402026,1027461605940
24,GET,large.txt,153613,1,0,1027456302760,1027460503680,1027463104383
27,GET,small.txt,1044,1,0,1027462801130,1027465762332,1027466392582
28,GET,small.txt,1044,1,0,1027466975035,1027467026446,1027467373773
26,PUT,large.txt,153613,1,0,1027462568386,1027463191297,1027468186262
