request_id,op,filename,bytes,rounds,forfeited_bytes,arrival_ns,start_ns,finish_ns
1,PUT,large.txt,153613,19,0,1072957801626,1072957856402,1072958295357
2,PUT,medium.txt,30774,4,0,1072958683130,1072958748956,1072958993000
3,PUT,small.txt,1044,1,0,1072959241488,1072959276225,1072959595417
10,PUT,small.txt,1044,1,0,1072960726693,1072963232671,1072963531062
12,GET,small.txt,1044,1,0,1072963883672,1072966828605,1072967129469
4,GET,medium.txt,30774,4,110,1072960154106,1072960199445,1072969932609
5,PUT,medium.txt,30774,4,0,1072960199260,1072961236230,1072970099208
6,GET,medium.txt,30774,4,110,1072960220594,1072961364338,1072971369032
7,GET,medium.txt,30774,4,110,1072960452514,1072962260691,1072972340469
9,PUT,medium.txt,30774,4,0,1072960688133,1072963108079,1072972512448
13,PUT,medium.txt,30774,4,0,1072967610048,1072970115098,1072976391048
14,PUT,medium.txt,30774,4,0,1072970288243,1072972531265,1072978091673
17,GET,medium.txt,30774,4,110,1072972503230,1072973345782,1072980140972
19,GET,medium.txt,30774,4,110,1072976674781,1072978114722,1072984289083
20,PUT,medium.txt,30774,4,0,1072978297830,1072980213292,1072985075728
21,PUT,medium.txt,30774,4,0,1072980299129,1072982106248,1072985450330
24,PUT,small.txt,1044,1,0,1072985624868,1072986367016,1072986539474
22,PUT,medium.txt,30774,4,0,1072984478567,1072985087136,1072986687996
25,GET,small.txt,1044,1,0,1072986694232,1072987432495,1072987659055
26,PUT,small.txt,1044,1,0,1072986856629,1072987667967,1072987829203
23,PUT,medium.txt,30774,4,0,1072985344975,1072986243943,1072988028252
16,GET,large.txt,153613,13,20289,1072971614400,1072973109227,1072988612792
29,GET,small.txt,1044,1,0,1072988229018,1072989572451,1072989771150
30,PUT,small.txt,1044,1,0,1072988863573,1072989809663,1072990063714
8,PUT,large.txt,153613,19,0,1072960518649,1072962902658,1072990518347
11,PUT,large.txt,153613,19,0,1072960752004,1072963551373,1072990838090
31,PUT,small.txt,1044,1,0,1072990033387,1072990846841,1072991064840
33,PUT,small.txt,1044,1,0,1072990753782,1072992449064,1072992615414
15,PUT,large.txt,153613,19,0,1072970453442,1072972958815,1072996232894
32,PUT,medium.txt,30774,4,0,1072990285223,1072992360892,1072996339913
18,PUT,large.txt,153613,19,0,1072973134582,1072974937070,1072998558376
37,PUT,small.txt,1044,1,0,1072996460876,1072998577282,1072998747140
38,GET,small.txt,1044,1,0,1072996502701,1072998761871,1072999195360
39,PUT,small.txt,1044,1,0,1072998771645,1073000094085,1073000287733
41,PUT,small.txt,1044,1,0,1072999413336,1073001637846,1073001808263
42,GET,small.txt,1044,1,0,1073000465500,1073003082404,1073003540953
27,GET,large.txt,153613,13,20289,1072987922902,1072988647661,1073012992132
28,GET,large.txt,153613,13,20289,1072987953464,1072989358487,1073013677170
44,GET,medium.txt,30774,4,110,1073003755062,1073005574600,1073014523789
46,GET,small.txt,1044,1,0,1073013863129,1073018013890,1073018331722
35,GET,large.txt,153613,13,20289,1072991228406,1072992740173,1073019137839
48,GET,small.txt,1044,1,0,1073018580363,1073019166932,1073019426736
36,GET,large.txt,153613,13,20289,1072992735885,1072993018670,1073021188236
47,PUT,medium.txt,30774,4,0,1073014712412,1073018358720,1073022670409
52,PUT,small.txt,1044,1,0,1073022976443,1073027006202,1073027361108
49,GET,medium.txt,30774,4,110,1073019371008,1073021293624,1073029444037
50,PUT,medium.txt,30774,4,0,1073019605619,1073022331943,1073029594690
40,GET,large.txt,153613,13,20289,1072998900204,1073000300372,1073030663643
51,PUT,medium.txt,30774,4,0,1073021411913,1073022693574,1073030755547
