request_id,op,filename,bytes,rounds,forfeited_bytes,arrival_ns,start_ns,finish_ns
1,PUT,large.txt,153613,1,0,981971334653,981971470109,981973089749
2,PUT,medium.txt,30774,1,0,981973943689,981974077490,981974663872
3,PUT,small.txt,1044,1,0,981974885840,981974940298,981975147734
4,PUT,medium.txt,30774,1,0,981975518404,981975559986,981976041648
7,PUT,small.txt,1044,1,0,981975946907,981976058917,981976301994
5,PUT,medium.txt,30774,1,0,981975715568,981976315108,981976519980
6,PUT,medium.txt,30774,1,0,981975879163,981976531123,981976739391
9,GET,medium.txt,30774,1,0,981976014704,981976752583,981980482667
15,PUT,small.txt,1044,1,0,981976939188,981980532050,981980902491
10,GET,medium.txt,30774,1,0,981976183040,981980921502,981984760736
17,PUT,small.txt,1044,1,0,981981150893,981984814121,981985251329
19,PUT,small.txt,1044,1,0,981985476161,981985585668,981987047816
11,GET,medium.txt,30774,1,0,981976215770,981987090892,981992771880
20,GET,small.txt,1044,1,0,981987314776,981992817915,981993024702
12,GET,medium.txt,30774,1,0,981976237285,981993039823,981996468387
22,PUT,small.txt,1044,1,0,981993352063,981996581521,981996994286
18,PUT,medium.txt,30774,1,0,981985137620,981997015542,981997313111
21,PUT,medium.txt,30774,1,0,981993246938,981997331995,981998553604
24,PUT,medium.txt,30774,1,0,981997601094,981998580231,981998888488
25,GET,medium.txt,30774,1,0,981998328372,981998902676,982002306259
26,PUT,medium.txt,30774,1,0,981999167071,982002420091,982002771598
28,PUT,small.txt,1044,1,0,982002684123,982002787829,982002979496
27,PUT,medium.txt,30774,1,0,981999196233,982002989867,982003214616
8,GET,large.txt,153613,1,0,981975987937,982003227731,982012186269
31,PUT,small.txt,1044,1,0,982003426871,982012219865,982017091805
32,PUT,small.txt,1044,1,0,982012911659,982017125369,982017933122
13,PUT,large.txt,153613,1,0,981976612035,982017956857,982038780335
34,GET,small.txt,1044,1,0,982026249959,982038820022,982039191354
14,PUT,large.txt,153613,1,0,981976757185,982039218507,982040590896
36,PUT,medium.txt,30774,1,0,982039457379,982040632758,982040951243
37,GET,medium.txt,30774,1,0,982040898568,982040968907,982045869856
16,GET,large.txt,153613,1,0,981980800027,982045902669,982057681673
23,PUT,large.txt,153613,1,0,981997012407,982057713180,982058979382
29,GET,large.txt,153613,1,0,982003002938,982059007182,982072406922
30,GET,large.txt,153613,1,0,982003115416,982072468312,982076750196
42,PUT,small.txt,1044,1,0,982072811170,982077481561,982087089148
43,GET,small.txt,1044,1,0,982078588140,982087121934,982087488513
33,PUT,large.txt,153613,1,0,982017636290,982087551647,982088419114
35,PUT,large.txt,153613,1,0,982039194520,982088442972,982089275418
38,PUT,large.txt,153613,1,0,982041368347,982089297641,982090566801
39,PUT,large.txt,153613,1,0,982046278546,982090589585,982091368700
48,GET,medium.txt,30774,1,0,982090844952,982091389339,982096235601
40,GET,large.txt,153613,1,0,982059391166,982096289754,982109128965
50,PUT,medium.txt,30774,1,0,982096628899,982109177826,982109692123
41,GET,large.txt,153613,1,0,982064410679,982109717196,982115892740
51,GET,medium.txt,30774,1,0,982110002053,982115918330,982123330171
52,GET,medium.txt,30774,1,0,982114251562,982123365114,982128534317
53,PUT,medium.txt,30774,1,0,982116335767,982128582804,982128983647
44,GET,large.txt,153613,1,0,982087492716,982129002084,982130702403
55,PUT,medium.txt,30774,1,0,982129243638,982130796712,982131545403
57,GET,medium.txt,30774,1,0,982131219808,982131566759,982136177334
58,PUT,medium.txt,30774,1,0,982132021505,982136303514,982142941741
59,PUT,medium.txt,30774,1,0,982136874565,982143042842,982143487398
60,PUT,medium.txt,30774,1,0,982143275732,982143505327,982144226036
61,PUT,medium.txt,30774,1,0,982143917300,982144250671,982144577554
45,PUT,large.txt,153613,1,0,982087743723,982144594628,982145549737
63,GET,small.txt,1044,1,0,982144993870,982145573722,982145727067
46,PUT,large.txt,153613,1,0,982088808362,982145741138,982147204974
64,PUT,small.txt,1044,1,0,982145874852,982147233901,982147521546
65,GET,medium.txt,30774,1,0,982146445741,982147537997,982151993235
67,GET,small.txt,1044,1,0,982147710226,982152102342,982152428894
68,GET,small.txt,1044,1,0,982152404646,982152445584,982152707006
69,PUT,small.txt,1044,1,0,982152672231,982152718890,982153053901
47,PUT,large.txt,153613,1,0,982089761267,982153070003,982153753230
49,PUT,large.txt,153613,1,0,982091754279,982153778909,982156136339
72,GET,medium.txt,30774,1,0,982154106522,982156169654,982162394316
73,GET,medium.txt,30774,1,0,982156423307,982162439875,982166607318
74,PUT,medium.txt,30774,1,0,982162721912,982166667739,982167063910
75,GET,medium.txt,30774,1,0,982166942740,982167085413,982177619847
76,GET,small.txt,1044,1,0,982167392552,982177727624,982178022691
54,PUT,large.txt,153613,1,0,982128322726,982178055481,982178989706
78,PUT,medium.txt,30774,1,0,982178447701,982179021554,982179462824
56,PUT,large.txt,153613,1,0,982129505362,982179479426,982180418286
62,PUT,large.txt,153613,1,0,982144540450,982180444941,982181805515
81,PUT,small.txt,1044,1,0,982180857577,982181837754,982182166353
66,GET,large.txt,153613,1,0,982147545988,982182187456,982188060202
83,GET,small.txt,1044,1,0,982183122466,982188120076,982188588267
70,GET,large.txt,153613,1,0,982152889309,982188739871,982195756122
85,PUT,small.txt,1044,1,0,982189432879,982195799840,982198236494
86,GET,small.txt,1044,1,0,982197766871,982198291048,982204351583
84,GET,medium.txt,30774,1,0,982188723828,982204517451,982212134876
88,PUT,medium.txt,30774,1,0,982204872509,982212165651,982212620195
71,GET,large.txt,153613,1,0,982153282474,982212644321,982213682160
90,PUT,medium.txt,30774,1,0,982213647442,982213766404,982214133158
77,PUT,large.txt,153613,1,0,982178396925,982214148397,982215144961
91,PUT,small.txt,1044,1,0,982214413021,982215173751,982215464232
92,GET,small.txt,1044,1,0,982214445572,982215481559,982215861625
94,GET,small.txt,1044,1,0,982215629703,982215928433,982216332609
93,PUT,medium.txt,30774,1,0,982215564048,982216348511,982216673838
96,GET,small.txt,1044,1,0,982216598895,982216688178,982217051766
97,GET,small.txt,1044,1,0,982216910031,982217065410,982217302144
95,PUT,medium.txt,30774,1,0,982216118935,982217324753,982217652554
99,GET,medium.txt,30774,1,0,982217489811,982217668465,982221919202
100,GET,medium.txt,30774,1,0,982217906743,982222024428,982229988146
101,GET,medium.txt,30774,1,0,982222209139,982230028616,982234831180
79,PUT,large.txt,153613,1,0,982179585976,982234862149,982235889476
102,PUT,medium.txt,30774,1,0,982234944003,982235910834,982236473692
80,GET,large.txt,153613,1,0,982179661670,982236493448,982240894328
105,GET,small.txt,1044,1,0,982236660026,982241014501,982241515894
82,PUT,large.txt,153613,1,0,982182851610,982241540088,982243419325
107,PUT,small.txt,1044,1,0,982241747888,982243452882,982243908105
108,PUT,small.txt,1044,1,0,982243837297,982243937243,982244176236
87,GET,large.txt,153613,1,0,982199939546,982244191523,982248281060
89,GET,large.txt,153613,1,0,982213593393,982248349983,982253181554
111,PUT,medium.txt,30774,1,0,982248622952,982253319367,982253767802
98,PUT,large.txt,153613,1,0,982217354562,982253790765,982256469319
113,GET,small.txt,1044,1,0,982254048077,982256497250,982256807002
103,GET,large.txt,153613,1,0,982235287298,982256865756,982277387021
114,PUT,medium.txt,30774,1,0,982257055743,982277522787,982277865473
116,GET,medium.txt,30774,1,0,982277735497,982277885806,982282311132
117,PUT,small.txt,1044,1,0,982278167602,982282397337,982282740064
104,PUT,large.txt,153613,1,0,982236376841,982282760101,982283566093
119,PUT,small.txt,1044,1,0,982282987109,982283588721,982283939786
106,PUT,large.txt,153613,1,0,982241439383,982283958031,982287662547
109,GET,large.txt,153613,1,0,982244025097,982287771022,982293631773
122,GET,medium.txt,30774,1,0,982288293593,982293748839,982298568261
123,PUT,small.txt,1044,1,0,982295662201,982298621420,982300423779
110,PUT,large.txt,153613,1,0,982244556597,982300505146,982301373375
125,GET,small.txt,1044,1,0,982300822125,982301454712,982301659172
