request_id,op,filename,bytes,rounds,forfeited_bytes,arrival_ns,start_ns,finish_ns
1,PUT,large.txt,153613,1,0,997392110721,997392153686,997393297853
2,PUT,medium.txt,30774,1,0,997393755617,997393796957,997394077897
3,PUT,small.txt,1044,1,0,997394433054,997394475738,997394682445
5,PUT,medium.txt,30774,1,0,997395496255,997395510749,997395857282
6,PUT,medium.txt,30774,1,0,997395519787,997395547076,997396170812
8,GET,small.txt,1044,1,0,997395947737,997396023240,997396171388
7,PUT,medium.txt,30774,1,0,997395779029,997395870159,997396401420
9,GET,large.txt,153613,1,0,997395981558,997396319370,997397854211
11,GET,medium.txt,30774,1,0,997396083531,997396189087,997398773654
10,GET,large.txt,153613,1,0,997396009337,997396412979,997399544896
4,GET,large.txt,153613,1,0,997395136053,997395176898,997399955155
13,GET,medium.txt,30774,1,0,997396432603,997397868091,997400635405
12,GET,large.txt,153613,1,0,997396087268,997398821912,997401010307
14,PUT,large.txt,153613,1,0,997396522290,997399556930,997401343271
15,GET,large.txt,153613,1,0,997396831844,997399989592,997401527371
16,PUT,large.txt,153613,1,0,997400086422,997401385406,997402800726
18,PUT,small.txt,1044,1,0,997400278199,997400663281,997403620498
20,PUT,small.txt,1044,1,0,997400855421,997401022219,997403888425
21,PUT,small.txt,1044,1,0,997401587963,997402828153,997404155866
22,PUT,small.txt,1044,1,0,997403677961,997403902698,997404594776
19,PUT,large.txt,153613,1,0,997400335293,997403637775,997405271502
17,GET,large.txt,153613,1,0,997400162053,997401540371,997405579501
23,PUT,medium.txt,30774,1,0,997403768936,997404171830,997405745463
24,PUT,small.txt,1044,1,0,997404478154,997404617930,997405906632
26,PUT,small.txt,1044,1,0,997404723341,997405290729,997405999952
29,PUT,small.txt,1044,1,0,997405615670,997405642570,997406332535
25,GET,medium.txt,30774,1,0,997404629886,997405757719,997406976084
27,PUT,large.txt,153613,1,0,997405279345,997406012239,997407593684
33,PUT,medium.txt,30774,1,0,997406535174,997407016357,997408603464
28,PUT,large.txt,153613,1,0,997405503274,997407611055,997408777999
31,GET,medium.txt,30774,1,0,997406226240,997406346413,997409055209
30,GET,medium.txt,30774,1,0,997405772860,997405919973,997409435927
32,PUT,large.txt,153613,1,0,997406254630,997408621992,997409485742
35,PUT,medium.txt,30774,1,0,997408632752,997408803749,997409794524
41,PUT,small.txt,1044,1,0,997410018217,997410099778,997410301531
